"","Author","Source","Inhibitor","Name","ratetot","ratetot.source","ratefall","ratepreplantspring","rateatplantoremerg","ratesidedresspostemerg","ratesplit2","ratesplit3","apptime","split","dateN","datesplit","datesplit2","fallorspring","place","place2","slope","dateplant","dateharvest","state","country","county","LRR","MLRA","lat","lon","rot","till","MAP.worldclim..mm.","MAT","sseries","sclass","sorder","stext","stextgrp","sand","clay","pH","pHmeth","SOM","SOC","bulkdensity","WFPS","tempmax","tempmin","precipann","preciprep","precipest","irrig","irrigapp","drainage","n2o.days","n2o","n2o.source","n2o.n","n2o.sd","n2o.sd.source","n2o.se","n2o.se.source","n2o.per","n2o.yldsc","n2o.yldsc.source","n2o.yldsc.se","n2o.yldsc.se..source","yld","yield.source","yld.n","yld.sd","yld.sd.source","yld.se","yld.se.source","NUE","plotsize.m2","leach","leach.source","leach.n","leach.sd","leach.sd.source","leach.se","leach.se.source","leach.yldsc","leach.yldsc.se","reps","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9"
"118","Ebelhar 07","UAN","none","UAN",67,"author",0,0,67,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",10.08,"author",4,0.98,"calc/raw data","0.49","calc/raw data","38.83",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Ebelhar 07","UAN","none","UAN",134,"author",0,0,134,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",11.81,"author",4,1.2,"calc/raw data","0.60","calc/raw data","33.83",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Ebelhar 07","UAN","NBPT","UAN+Agrotain",67,"author",0,0,67,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",10.72,"author",4,0.72,"calc/raw data","0.36","calc/raw data","49.5",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Ebelhar 07","UAN","NBPT","UAN+Agrotain",134,"author",0,0,134,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",12.08,"author",4,1.09,"calc/raw data","0.55","calc/raw data","36.08",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Ebelhar 07","UAN","NBPT+DCD","UAN+Agrotain+",67,"author",0,0,67,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",9.67,"author",4,0.67,"calc/raw data","0.34","calc/raw data","32",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Ebelhar 07","UAN","NBPT+DCD","UAN+Agrotain+",134,"author",0,0,134,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",11.55,"author",4,1.2,"calc/raw data","0.60","calc/raw data","31.67",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Ebelhar 07","UAN","thiosulfate","UAN cats",67,"author",0,0,67,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",10.38,"author",4,0.75,"calc/raw data","0.38","calc/raw data","43.83",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Ebelhar 07","UAN","thiosulfate","UAN cats",134,"author",0,0,134,0,0,0,"at planting","single","4/20/07","1/1/11","1/1/11","spring","broadcast","none","none","4/20/07","9/26/07","Illinois","USA","St . Clair","M","114B",38.5185,-89.8407,"CC","tilled",955,13,"Bethalto silt loam","Fine-silty, mixed, superactive, mesic Udollic Endoaqualfs","Alfisol","silt loam","fine",4,22,6.9,"water",2.5,1.45,1.25,".",39.5,-2.5,857,"472.69",442,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",11.43,"author",4,0.66,"calc/raw data","0.33","calc/raw data","30.67",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Ebelhar 07","UAN","none","UAN",67,"author",0,0,67,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",9.98,"author",4,1.42,"calc/raw data","0.71","calc/raw data","45.67",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Ebelhar 07","UAN","none","UAN",134,"author",0,0,134,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",12.45,"author",4,1.38,"calc/raw data","0.69","calc/raw data","43.42",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Ebelhar 07","UAN","NBPT","UAN+Agrotain",67,"author",0,0,67,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",10.65,"author",4,0.59,"calc/raw data","0.3","calc/raw data","56.83",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Ebelhar 07","UAN","NBPT","UAN+Agrotain",134,"author",0,0,134,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",13.36,"author",4,0.37,"calc/raw data","0.18","calc/raw data","51",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Ebelhar 07","UAN","NBPT+DCD","UAN+Agrotain+",67,"author",0,0,67,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",10.49,"author",4,0.67,"calc/raw data","0.34","calc/raw data","54.17",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Ebelhar 07","UAN","NBPT+DCD","UAN+Agrotain+",134,"author",0,0,134,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",12.93,"author",4,1.05,"calc/raw data","0.52","calc/raw data","47.42",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Ebelhar 07","UAN","thiosulfate","UAN cats",67,"author",0,0,67,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",9.41,"author",4,1.09,"calc/raw data","0.55","calc/raw data","36.17",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Ebelhar 07","UAN","thiosulfate","UAN cats",134,"author",0,0,134,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast incorp.","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",11.68,"author",4,1.01,"calc/raw data","0.51","calc/raw data","37",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Ebelhar 07","UAN","none","UAN",67,"author",0,0,0,67,0,0,"sidedress","single",".","1/1/11","1/1/11","spring","subsurface band","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",10.58,"author",4,0.95,"calc/raw data","0.47","calc/raw data","55.67",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Ebelhar 07","UAN","none","UAN",134,"author",0,0,0,134,0,0,"sidedress","single",".","1/1/11","1/1/11","spring","subsurface band","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",12.38,"author",4,0.7,"calc/raw data","0.35","calc/raw data","42.83",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Ebelhar 07","UAN","none","UAN",67,"author",0,0,67,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",9.94,"author",4,1.02,"calc/raw data","0.51","calc/raw data","45",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Ebelhar 07","UAN","none","UAN",134,"author",0,0,134,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",11.55,"author",4,1.28,"calc/raw data","0.64","calc/raw data","35.92",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Ebelhar 07","UAN","NBPT","UAN+Agrotain",67,"author",0,0,67,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",9.89,"author",4,1.48,"calc/raw data","0.74","calc/raw data","44.17",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Ebelhar 07","UAN","NBPT","UAN+Agrotain",134,"author",0,0,134,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",11.78,"author",4,1.59,"calc/raw data","0.79","calc/raw data","37.83",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Ebelhar 07","UAN","NBPT+DCD","UAN+Agrotain+",67,"author",0,0,67,0,0,0,"at planting","single","5/17/07","1/1/11","1/1/11","spring","broadcast","none","none","5/22/07","10/5/07","Illinois","USA","Pope","M","113",37.435,-88.669,"CC","tilled",1203,13.4,"Sharon silt loam","Coarse-silty, mixed, active, mesic Oxyaquic Dystrudepts","Inceptisol","silt loam","coarse",25,15,7,"water",2,1.16,1.4,".",39,-0.5,1349,"494.79",621,"rainfed","0","","N/A","N/A",".","N/A","N/A",".","N/A",".","N/A","N/A",".","N/A",".",9.06,"author",4,1.44,"calc/raw data","0.72","calc/raw data","30.33",".","N/A","","N/A","N/A","","N/A","","N/A","N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
